sep=,
"Doc.","Data","Terceiro","Nome [Clientes]","Família [Artigos]","Valor [Documentos GC Lin]","Vendedor"
"CCS","09-12-2025","ABA","","","0",""
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","KENNA","-0,01","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","KENNA","-0,01","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","KENNA","-0,01","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","KENNA","-0,01","OC"
"ENC","14-05-2025",="3593","ICEBEL COM. MAQ. E DESENV. INDUSTRIAL, LDA.","CLARKS","-0,01","FL"
"ENC","05-06-2025",="0903","AZEVEDOS INDÚSTRIA MÁQUINAS EQUIP. IND., SA.","HTK","-0,01","VT"
"ENC","13-06-2025",="4500","NEWTOF - MAQUINAÇÕES TECNICAS LDA","YAMAWA","-0,01","HR"
"ENC","02-10-2025",="0471","JOÃO & OLIVEIRA, LDA.","OSAWA","-0,01","VT"
"ENF","05-12-2025",="0609","","YAMAWA","-0,01",""
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","SGS","-0,01","VT"
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","SGS","-0,01","VT"
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","SGS","-0,01","VT"
"INA","31-12-2024","ABA","","CLARKS","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","MANIG","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","VERTX","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","INOTL","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","LI-HSU","0",""
"INA","31-12-2024","ABA","","FERVI","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","BAHCO","0",""
"INA","31-12-2024","ABA","","JENIX","0",""
"INA","31-12-2024","ABA","","HELIOS","0",""
"INA","31-12-2024","ABA","","CLARKS","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","DALIAN","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","DALIAN","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","FERVI","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","QUIKTE","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","BAHCO","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","TRDMX","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","NATSU","0",""
"INA","31-12-2024","ABA","","NATSU","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","TRDMX","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","PINNAC","0",""
"INA","31-12-2024","ABA","","SMOXH","0",""
"INA","31-12-2024","ABA","","KENNA","0",""
"INA","31-12-2024","ABA","","SMOXH","0",""
