sep=,
"Doc.","Data","Terceiro","Nome [Clientes]","Valor [Documentos GC Lin]","Família [Artigos]","Vendedor"
"CCS","09-12-2025","ABA","","0","",""
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","-0,01","KENNA","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","-0,01","KENNA","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","-0,01","KENNA","OC"
"ENC","23-01-2025",="1298","VMSS TORNEIRO MECÂNICO, LDA.","-0,01","KENNA","OC"
"ENC","14-05-2025",="3593","ICEBEL COM. MAQ. E DESENV. INDUSTRIAL, LDA.","-0,01","CLARKS","FL"
"ENC","05-06-2025",="0903","AZEVEDOS INDÚSTRIA MÁQUINAS EQUIP. IND., SA.","-0,01","HTK","VT"
"ENC","13-06-2025",="4500","NEWTOF - MAQUINAÇÕES TECNICAS LDA","-0,01","YAMAWA","HR"
"ENC","02-10-2025",="0471","JOÃO & OLIVEIRA, LDA.","-0,01","OSAWA","VT"
"ENF","05-12-2025",="0609","","-0,01","YAMAWA",""
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","-0,01","SGS","VT"
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","-0,01","SGS","VT"
"ORC","26-06-2025",="1544","SCHMIDT LIGHT METAL FUNDIÇÃO INJECTADA, LDA.","-0,01","SGS","VT"
"INA","31-12-2024","ABA","","0","CLARKS",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","MANIG",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","VERTX",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","INOTL",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","FERVI",""
"INA","31-12-2024","ABA","","0","LI-HSU",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","BAHCO",""
"INA","31-12-2024","ABA","","0","HELIOS",""
"INA","31-12-2024","ABA","","0","JENIX",""
"INA","31-12-2024","ABA","","0","CLARKS",""
"INA","31-12-2024","ABA","","0","DALIAN",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","QUIKTE",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","DALIAN",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","FERVI",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","BAHCO",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","TRDMX",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","NATSU",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","TRDMX",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","NATSU",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","SMOXH",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","SMOXH",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","TAPMA",""
"INA","31-12-2024","ABA","","0","EASTR",""
"INA","31-12-2024","ABA","","0","JEM",""
"INA","31-12-2024","ABA","","0","BAHCO",""
"INA","31-12-2024","ABA","","0","CANELA",""
"INA","31-12-2024","ABA","","0","FERVI",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PRYOR",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","EROGLU",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","TAIPU",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","TAIPU",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","HELIOS",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","KENNA",""
"INA","31-12-2024","ABA","","0","PINNAC",""
"INA","31-12-2024","ABA","","0","GENERI",""
