sep=,
"Data","Doc.","Artigo [Documentos GC Lin]","Descrição [Artigos]","Observ. [Artigos]","Quant [Documentos GC Lin]","Valor [Documentos GC Lin]","Desconto [Documentos GC Lin]","Família [Artigos]","Nome [Clientes]","Vendedor [Documentos GC Lin]"
"09-01-2025","ENC",="122691","PLAQUETE","TNMG 220408MN KCP40B  5591723","5","65,16",="35","KENNA","SERRALHARIA MECÂNICA JULIO CASTRO,LDA.","VT"
"09-01-2025","ENC","PP","Portes grátis em compras acima de 100€","","1","0",="0",="0","SERRALHARIA MECÂNICA JULIO CASTRO,LDA.","VT"
"09-01-2025","ENC","P","Portes","Portes","1","4,5",="0","","SERRALHARIA MECÂNICA JULIO CASTRO,LDA.","VT"
"09-01-2025","ENC",="107079","PINÇA","ER 40 472 E Ø25 D=41 L=46","1","19",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="107431","PINÇA","ER 40 472 E Ø24 D=41 L=46","1","19",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="105842","PINÇA","ER 32 470 E Ø16 D=33 L=40","2","31",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="107516","CONE P/ ROCAS","SK40 AD Ø22-35","1","49",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="105843","PINÇA","ER 32 470 E Ø20 D=33 L=40","1","15,5",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="105800","PINÇA","ER 16 426 E Ø8 D=17 L=27","1","16,5",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="112872","CONE P/ ROCAS","BT30 AD Ø16-40","1","55",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="110663","CONE P/ FRESAS","SK40 AD Ø32-65","1","61",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="110087","PORTA PINÇAS","BT30 AD ER 16 (1-10)-100","2","118",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="107683","PORTA PINÇAS","BT30 AD ER 16 (1-10)-70","1","51",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="108239","CONE P/ FRESAS","SK40 AD Ø25-35","2","104",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="112951","CONE P/ FRESAS","BT30 AD Ø20-63","1","40",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="110088","PORTA PINÇAS","BT30 AD ER 32 (2-20)-70","3","163,5",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="105802","PINÇA","ER 16 426 E Ø10 D=17 L=27","1","16,5",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="107683","PORTA PINÇAS","BT30 AD ER 16 (1-10)-70","1","51",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
"09-01-2025","ENC",="106132","PINÇA","ER 32 470 E Ø18 D=33 L=40","2","31",="0","EROGLU","KRISTALTEK – CNC PRECISION, SA","DB"
