sep=,
"Data","Terceiro","Doc.","Nome [Clientes]","Vendedor","Família [Artigos]","Valor [Documentos GC Lin]"
"23-01-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","-0,01"
"23-01-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","-0,01"
"23-01-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","-0,01"
"23-01-2025",="1298","ENC","VMSS TORNEIRO MECÂNICO, LDA.","OC","KENNA","-0,01"
"29-01-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"29-01-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","OSBORN","0"
"17-03-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"17-03-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","EROGLU","0"
"17-03-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","EROGLU","0"
"22-04-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","PRYOR","0"
"22-04-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"13-06-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"13-06-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","KOMTAS","0"
"13-06-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","ROHM","0"
"03-07-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","TIVOLY","0"
"03-07-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"03-07-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
"02-09-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","LH","0"
"02-09-2025",="1298","DV","VMSS TORNEIRO MECÂNICO, LDA.","OC","","0"
